miRNA	rowMeans	star	log2ratio
2	hsa-let-7a-5p	1884.01625	active	7.06018296698016
3	hsa-let-7a-3p	14.1175	star	7.06018296698016
31	hsa-let-7b-5p	633.25625	active	6.91639064431603
41	hsa-let-7b-3p	5.2425	star	6.91639064431603
6	hsa-let-7d-5p	372.57125	active	3.21683192792833
7	hsa-let-7d-3p	40.0725	star	3.21683192792833
12	hsa-let-7i-5p	314.88375	active	6.51941577657612
13	hsa-let-7i-3p	3.4325	star	6.51941577657612
18	hsa-miR-106b-5p	2.565	star	4.18808992473947
19	hsa-miR-106b-3p	46.755	active	4.18808992473947
22	hsa-miR-125a-5p	94.20625	active	5.5505553703583
23	hsa-miR-125a-3p	2.01	star	5.5505553703583
25	hsa-miR-126-5p	17.75625	star	0.533792240310841
26	hsa-miR-126-3p	25.70625	active	0.533792240310841
33	hsa-miR-130b-5p	2.585	star	3.81257766834628
34	hsa-miR-130b-3p	36.32125	active	3.81257766834628
35	hsa-miR-140-5p	2.61625	star	3.04896129670143
36	hsa-miR-140-3p	21.6525	active	3.04896129670143
40	hsa-miR-151a-5p	45.71625	star	1.5854752205705
411	hsa-miR-151a-3p	137.1975	active	1.5854752205705
43	hsa-miR-15b-5p	14.955	star	0.899637211597198
44	hsa-miR-15b-3p	27.9	active	0.899637211597198
47	hsa-miR-17-5p	129.23625	active	3.678655302249
48	hsa-miR-17-3p	10.0925	star	3.678655302249
56	hsa-miR-18a-5p	1.725	star	1.95271170896958
57	hsa-miR-18a-3p	6.6775	active	1.95271170896958
63	hsa-miR-193b-5p	12.68	star	0.103701484412244
64	hsa-miR-193b-3p	13.625	active	0.103701484412244
68	hsa-miR-199a-5p	4.7025	active	0.203091865377511
69	hsa-miR-199a-3p	4.085	star	0.203091865377511
74	hsa-miR-20a-5p	5.91875	active	0.515226222274733
75	hsa-miR-20a-3p	4.14125	star	0.515226222274733
76	hsa-miR-21-5p	134.63	active	3.94687446168301
77	hsa-miR-21-3p	8.73	star	3.94687446168301
79	hsa-miR-22-5p	3.47375	star	1.01292051481006
80	hsa-miR-22-3p	7.01	active	1.01292051481006
84	hsa-miR-23a-5p	12.69875	star	6.53797031133856
85	hsa-miR-23a-3p	1180.01125	active	6.53797031133856
89	hsa-miR-25-5p	7.4025	star	6.90810410574837
90	hsa-miR-25-3p	889.0475	active	6.90810410574837
93	hsa-miR-27a-5p	6.97125	star	2.47247145780258
94	hsa-miR-27a-3p	38.69	active	2.47247145780258
95	hsa-miR-27b-5p	3.05	star	2.01104390471564
96	hsa-miR-27b-3p	12.29375	active	2.01104390471564
97	hsa-miR-28-5p	10.575	star	1.52992429514731
98	hsa-miR-28-3p	30.5375	active	1.52992429514731
99	hsa-miR-296-5p	3.065	star	0.0889848905402959
100	hsa-miR-296-3p	3.26	active	0.0889848905402959
104	hsa-miR-29c-5p	2.51125	star	0.827829138891703
105	hsa-miR-29c-3p	4.4575	active	0.827829138891703
108	hsa-miR-30b-5p	4.44	star	0.217160836826071
109	hsa-miR-30b-3p	5.16125	active	0.217160836826071
114	hsa-miR-31-5p	118.1725	active	5.39353877783563
115	hsa-miR-31-3p	2.81125	star	5.39353877783563
120	hsa-miR-324-5p	23.795	active	0.703702276356994
1211	hsa-miR-324-3p	14.61	star	0.703702276356994
124	hsa-miR-330-5p	2.60375	star	0.348961836188049
125	hsa-miR-330-3p	3.31625	active	0.348961836188049
127	hsa-miR-335-5p	7.1675	active	2.63983613829615
128	hsa-miR-335-3p	1.15	star	2.63983613829615
134	hsa-miR-361-5p	2.2875	star	1.99723810519061
135	hsa-miR-361-3p	9.1325	active	1.99723810519061
138	hsa-miR-374a-5p	2.945	NA	NA
139	hsa-miR-374a-3p	2.945	NA	NA
141	hsa-miR-378a-5p	11.58625	star	1.85410608150685
142	hsa-miR-378a-3p	41.8875	active	1.85410608150685
146	hsa-miR-423-5p	116.92375	active	1.986842278233
147	hsa-miR-423-3p	29.49875	star	1.986842278233
148	hsa-miR-424-5p	39.8775	active	1.53995183974147
149	hsa-miR-424-3p	13.71375	star	1.53995183974147
150	hsa-miR-425-5p	21.0425	active	0.969976340224665
151	hsa-miR-425-3p	10.7425	star	0.969976340224665
159	hsa-miR-504-5p	6.20875	active	1.26274397905055
160	hsa-miR-504-3p	2.5875	star	1.26274397905055
161	hsa-miR-505-5p	5.62125	star	2.19609970119418
162	hsa-miR-505-3p	25.75875	active	2.19609970119418
163	hsa-miR-532-5p	14.905	active	0.739872301074707
164	hsa-miR-532-3p	8.925	star	0.739872301074707
169	hsa-miR-574-5p	33.83625	star	0.242872287695582
170	hsa-miR-574-3p	40.04	active	0.242872287695582
175	hsa-miR-625-5p	5.05	NA	NA
176	hsa-miR-625-3p	5.05	NA	NA
177	hsa-miR-629-5p	13.17125	active	3.08821608167136
178	hsa-miR-629-3p	1.54875	star	3.08821608167136
182	hsa-miR-675-5p	28.4225	active	3.42296919264148
183	hsa-miR-675-3p	2.65	star	3.42296919264148
193	hsa-miR-92b-5p	4.5825	star	2.47770417522528
194	hsa-miR-92b-3p	25.525	active	2.47770417522528
195	hsa-miR-93-5p	266.60125	active	6.01152491499225
196	hsa-miR-93-3p	4.1325	star	6.01152491499225
199	hsa-miR-98-5p	241.4875	active	5.09001907578201
200	hsa-miR-98-3p	7.09	star	5.09001907578201
201	hsa-miR-99a-5p	6.7025	active	1.63533875480361
202	hsa-miR-99a-3p	2.1575	star	1.63533875480361
203	hsa-miR-99b-5p	46.7125	active	2.91056280681846
204	hsa-miR-99b-3p	6.2125	star	2.91056280681846
